status,city,state,country,classification,product_type,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,recall_initiation_date,center_classification_date,termination_date,report_date,code_info,openfda.application_number,openfda.brand_name,openfda.generic_name,openfda.manufacturer_name,openfda.product_ndc,openfda.product_type,openfda.route,openfda.substance_name,openfda.rxcui,openfda.spl_id,openfda.spl_set_id,openfda.package_ndc,openfda.is_original_packager,openfda.unii,more_code_info,openfda.upc,openfda.nui,openfda.pharm_class_moa,openfda.pharm_class_epc,openfda.pharm_class_cs,openfda.original_packager_product_ndc,openfda.pharm_class_pe,clean_description
Terminated,Peoria,IL,United States,Class II,Drugs,72241,"Kalman Health & Wellness, Inc. dba Essential Wellness Pharma",4625 N University St,N/A,61614-5828,Voluntary: Firm initiated,Letter,Nationwide,D-321-2016,"Progesterone 100 mg/mL in Corn Oil Injection, 2 mL vials, Rx only, Essential Wellness PHARMACY, 4625 N. University, Peoria, IL 61614.",1 vial,Lack of Assurance of Sterility:  A recall of all compounded sterile preparations within expiry is being initiated due to observations associated with poor sterile production practices resulting in a lack of sterility assurance for their finished drugs.,20150903,20151117,20171229,20151125,"Lot #: 072915, Exp 10/29/2015",,,,,,,,,,,,,,,,,,,,,,,"progesterone 100 mg/ml in corn oil injection, 2 ml vials, rx only, essential wellness pharmacy, 4625 n. university, peoria, il 61614."
Ongoing,San Juan Del Rio,N/A,Mexico,Class II,Drugs,86162,Albek De Mexico S.A. De C.V.,Oriente Cuatro No. 11 Nuevo,N/A,N/A,Voluntary: Firm initiated,Press Release,USA Nationwide,D-0080-2021,"Assured Instant Hand Sanitizer Aloe & Moisturizers (Ethyl Alcohol 70% v/v) 8 fl oz / 237 mL bottle, Distributed By: Greenbrier International, Inc. 500 Volvo Parkway, Chesapeake, VA 23320. Made in Mexico.UPC 639277928610","27,000 bottles",CGMP Deviations: Next Advanced Antibacterial Hand Sanitizer was found to be below the label claim for ethanol content and contained methanol. Other products were recalled because they were manufactured in the same facility as the product found to contain methanol.,20200730,20201117,,20201125,1931102AL,,,,,,,,,,,,,,,,,,,,,,,"assured instant hand sanitizer aloe & moisturizers (ethyl alcohol 70% v/v) 8 fl oz / 237 ml bottle, distributed by: greenbrier international, inc. 500 volvo parkway, chesapeake, va 23320. made in mexico.upc 639277928610"
Terminated,Parsippany,NJ,United States,Class II,Drugs,85712,Teva Pharmaceuticals USA,400 Interpace Pkwy,N/A,07054-1120,Voluntary: Firm initiated,Letter,Nationwide within the United State and Puerto Rico.,D-1285-2020,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate Tablets ( Mixed Amphetamine Salts Product), 5 mg, 100 count bottles, Rx Only, Teva Pharmaceuticals USA, INC. North Wales, PA 19454, NDC 0555-0971-02","33,280 bottles",Some bottles may contain mixed strengths of the product.,20200522,20200604,20210525,20200610,"Lot #: 42614718, Exp. date 02/2021",['ANDA040422'],"['DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE']","['DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE']","['Teva Pharmaceuticals USA, Inc.']","['0555-0775', '0555-0971', '0555-0972', '0555-0776', '0555-0777', '0555-0973', '0555-0974']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],"['AMPHETAMINE ASPARTATE MONOHYDRATE', 'AMPHETAMINE SULFATE', 'DEXTROAMPHETAMINE SACCHARATE', 'DEXTROAMPHETAMINE SULFATE']","['541363', '541878', '541892', '577957', '577961', '687043', '1009145']",['88468f3d-7d03-4cee-aabf-3abc8c9b5e38'],['cffbbb15-d776-41ae-a8a6-687f2c07bfa4'],"['0555-0971-02', '0555-0775-02', '0555-0972-02', '0555-0776-02', '0555-0777-02', '0555-0973-02', '0555-0974-02']",[True],"['O1ZPV620O4', 'JJ768O327N', '6DPV8NK46S', 'G83415V073']",,,,,,,,,"dextroamphetamine saccharate, amphetamine aspartate, dextroamphetamine sulfate and amphetamine sulfate tablets ( mixed amphetamine salts product), 5 mg, 100 count bottles, rx only, teva pharmaceuticals usa, inc. north wales, pa 19454, ndc 0555-0971-02"
Terminated,Allegan,MI,United States,Class II,Drugs,88905,Perrigo Company PLC,515 Eastern Ave,,49010-9070,Voluntary: Firm initiated,Letter,Nationwide in the USA,D-0623-2022,"No Drip Nasal Spray, Oxymetazoline HCl 0.05% Nasal Decongestant, 1 FL Oz (30 mL) per bottle, Distributed by SUPERVALU INC., Eden Prairie, MN 55344 USA. NDC 41163-703-10","1,560 bottles",CGMP Deviations: Products were manufactured with contaminated excipient that was recalled from the excipient supplier.,20211026,20220223,20230929,20220302,"Batch: 1BK0964, Exp 01/31/2023",['M012'],['EQUALINE NASAL'],['OXYMETAZOLINE HCL'],"['United Natural Foods, Inc. dba UNFI']",['41163-703'],['HUMAN OTC DRUG'],['NASAL'],['OXYMETAZOLINE HYDROCHLORIDE'],['1000990'],['00703ca9-7bc4-48a8-9e49-3688fffce57f'],['69308693-a094-42a9-a041-e73647a25cc1'],['41163-703-10'],[True],['K89MJ0S5VY'],,,,,,,,,"no drip nasal spray, oxymetazoline hcl 0.05% nasal decongestant, 1 fl oz (30 ml) per bottle, distributed by supervalu inc., eden prairie, mn 55344 usa. ndc 41163-703-10"
Terminated,Lake Forest,IL,United States,Class II,Drugs,74057,"Pharmedium Services, LLC",150 N Field Dr Ste 350,N/A,60045-2506,Voluntary: Firm initiated,E-Mail,Nationwide,D-1398-2016,"2 mcg/mL Fentanyl Citrate and 0.16% Bupivacaine HCl (Preservative Free) in 0.9% Sodium Chloride,	 100 mL in 150 mL Baxter Intravia Bag, Service Code 2K8102, Rx Only,  Compounded by PharMEDium Services, LLC, Memphis, TN 36141, NDC 61553-102-48",940 bags,Presence of Particulate Matter: API contaminated with glass particulate was used to produce sterile injectable drugs.,20160505,20160716,20180306,20160727,"Lot Number 160380168M , Exp. Date 5/8/2016 ;  Lot Number 160410137M , Exp. Date 5/11/2016 ;  Lot Number 160460150M , Exp. Date 5/16/2016 ;  Lot Number 160530279M , Exp. Date 5/23/2016 ;  Lot Number 160590185M , Exp. Date 5/29/2016 ;  Lot Number 160630160M , Exp. Date 6/2/2016 ;  Lot Number 160680179M , Exp. Date 6/7/2016 ;  Lot Number 160730238M , Exp. Date 6/12/2016 ;  Lot Number 160840215M , Exp. Date 6/23/2016 ;  Lot Number 160880193M , Exp. Date 6/27/2016 ;  Lot Number 160890187M , Exp. Date 6/28/2016 ;",,,,,,,,,,,,,,,,,,,,,,,"2 mcg/ml fentanyl citrate and 0.16% bupivacaine hcl (preservative free) in 0.9% sodium chloride,	 100 ml in 150 ml baxter intravia bag, service code 2k8102, rx only,  compounded by pharmedium services, llc, memphis, tn 36141, ndc 61553-102-48"
Terminated,New York,NY,United States,Class III,Drugs,68660,Pfizer Inc.,235 East 42nd Street,N/A,10017-5703,Voluntary: Firm initiated,Letter,Nationwide and Puerto Rico,D-1443-2014,"VIRACEPT (R) (nelfinavir mesylate) Tablets, 625 mg, 120-count bottle, Rx only, Manufactured by: Agouron Pharmaceuticals, Inc. A Pfizer Company,  Distributed by: ViV Healthcare Company, Research Triangle Park, NC 27709  NDC 63010-027-70",1200  tablets,Labeling: Incorrect or missing lot and or Exp Date: The bottles were labeled with an incorrect expiry date 11/2016.  The correct expiry date is 09/2016.,20140708,20140717,20150706,20140723,"Lot H45241, exp. 11/16",['NDA020779'],['VIRACEPT'],['NELFINAVIR MESYLATE'],['AGOURON'],"['63010-010', '63010-027']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],['NELFINAVIR MESYLATE'],"['212118', '311924', '403978', '542370']",['a40b7911-f153-47ca-a298-be6e3a545ae5'],['e72c2bc6-9462-4a2e-8e1d-b97592376cbd'],"['63010-010-30', '63010-027-70']",[True],['98D603VP8V'],,,,,,,,,"viracept (r) (nelfinavir mesylate) tablets, 625 mg, 120-count bottle, rx only, manufactured by: agouron pharmaceuticals, inc. a pfizer company,  distributed by: viv healthcare company, research triangle park, nc 27709  ndc 63010-027-70"
Ongoing,Dania Beach,FL,United States,Class II,Drugs,94788,Little Moon Essentials LLC,501 Old Griffin Rd,N/A,33004-2774,Voluntary: Firm initiated,Letter,"Nationwide USA and Ontario, Canada (2 retailers)",D-0572-2024,"Little Moon Essentials, Crampy Belly Rub (Camphor 1.1%), Packaged as a) 4 FL OZ (118ML) glass jar, UPC Code 6 73673 88260 2, NDC 70722-260-04; b) 2 FL OZ (59ML) glass jar, UPC Code 6 73673 88204 6, NDC 70722-260-02, Little Moon Essentials LLC Dania Beach, Fl 33004",788 glass jars,CGMP deviations,20240620,20240702,,20240710,"lot code No Expiration Date on product:  a) 224010,  b) 321260, 322260, 320280, 328080, 325021, 321121, 423010, 427110, 429120, 420220, 422140",,,,,,,,,,,,,,,,,,,,,,,"little moon essentials, crampy belly rub (camphor 1.1%), packaged as a) 4 fl oz (118ml) glass jar, upc code 6 73673 88260 2, ndc 70722-260-04; b) 2 fl oz (59ml) glass jar, upc code 6 73673 88204 6, ndc 70722-260-02, little moon essentials llc dania beach, fl 33004"
Terminated,Houston,TX,United States,Class II,Drugs,81002,"Pharm D Solutions, LLC",1304 S Loop W,N/A,77054-4010,Voluntary: Firm initiated,Press Release,Nationwide,D-0194-2019,"Trimix QM10 Papaverine 30 mg/Phentolamine 4 mg/Atropine 1 mg/PGE 150 mcg/mL Injectable, Pharm D Solutions, Houston, Texas --- NDC 69699-1352-05",9 vials,Lack of Assurance of Sterility,20180910,20181101,20210205,20181107,Lot: 04262018:09 Discard by: 10/22/2018; 07022018:48 Discard by: 12/29/2018,,,,,,,,,,,,,,,,,,,,,,,"trimix qm10 papaverine 30 mg/phentolamine 4 mg/atropine 1 mg/pge 150 mcg/ml injectable, pharm d solutions, houston, texas --- ndc 69699-1352-05"
Terminated,Chesterbrook,PA,United States,Class II,Drugs,66316,AmeriSource Bergen,1300 Morris Dr,,19087-5559,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Nationwide,D-1066-2013,"Ifosfamide Injection 3g/60 mL, Single dose vial, Rx only, Sterile, For Intravenous Use, Refrigerate at 2-8 degrees celcius, Distributed by Pfizer Labs, Division of Pfizer Inc., New York, NY 10017, NDC 0069-4496-22",60 vials,Temperature abuse: Certain vials of Ifosfamide IV products were not refrigerated at certain Amerisource Bergen Drug Corp distribution centers.,20130913,20130927,20141001,20131009,"Lot #s: 7800929, 7800931, Exp 02/15; 7800962, Exp 03/15",,,,,,,,,,,,,,,,,,,,,,,"ifosfamide injection 3g/60 ml, single dose vial, rx only, sterile, for intravenous use, refrigerate at 2-8 degrees celcius, distributed by pfizer labs, division of pfizer inc., new york, ny 10017, ndc 0069-4496-22"
Terminated,Fountain Run,KY,United States,Class II,Drugs,77601,Apace KY LLC,12954 Fountain Run Rd,N/A,42133-7914,Voluntary: Firm initiated,E-Mail,KY,D-1035-2017,"Amantadine HCl Capsules, USP, 100 mg, Rx Only,  50 Capsules (5x10) Unit Dose Cartons, Manufactured for: AvKARE Inc, Pulaski, TN 38478 --- NDC: 50268-0069-15","1,483 cartons","Labeling; Label Mix up; cartons labeled as Amantadine HCl 100 mg Capsules contain unit dose blister cards of Cyclobenzaprine HCl Tablet, USP 5 mg",20170619,20170731,20180504,20170809,"Lot:  16710, exp 07/2018",,,,,,,,,,,,,,,,,,,,,,,"amantadine hcl capsules, usp, 100 mg, rx only,  50 capsules (5x10) unit dose cartons, manufactured for: avkare inc, pulaski, tn 38478 --- ndc: 50268-0069-15"
