:START_ID,:TYPE,:END_ID
http://example.org/fda/7521460749435599233,hasRecallReason,"Labeling: Label Mixup: DRONEDARONE HCL, Tablet, 400 mg may be potentially as the following drug:  METHYLERGONOVINE MALEATE, Tablet, 0.2 mg, NDC 43386014028, Pedigree: AD52778_40, EXP: 5/20/2014."
http://example.org/fda/3982123762646105362,hasRecallType,Class III
http://example.org/fda/808820976677340677,hasRecallType,Class II
http://example.org/fda/367732347997371290,hasRecallType,Class II
http://example.org/fda/4040241833474742646,hasRecallReason,"Lack of Assurance of Sterility: Martin Avenue Pharmacy, Inc. is conducting a voluntary recall of all compounded sterile preparations within expiry. The recall is being initiated in connection with a recent FDA inspection due to observations associated with certain quality control procedures that present a risk to sterility assurance."
http://example.org/fda/384081700434397511,hasRecallReason,Non-Sterility: Out of specification results for the sterility test for microbial contamination.
http://example.org/fda/2570782316828393775,hasRecallType,Class II
http://example.org/fda/5062196777165891174,hasRecallType,Class II
http://example.org/fda/3024017178754014875,hasRecallType,Class II
http://example.org/fda/4961691475717183597,hasRecallReason,cGMP deviations: Temperature abuse
http://example.org/fda/9014846806144910241,hasRecallType,Class II
http://example.org/fda/3683361109687816591,hasRecallType,Class II
http://example.org/fda/1356070627840597646,hasRecallType,Class II
http://example.org/fda/8273643561775248295,hasRecallType,Class II
http://example.org/fda/2018241912162728491,hasRecallType,Class II
http://example.org/fda/5943648916631051106,hasRecallReason,Lack of Assurance of Sterility and Stability Data does not Support Expiry: recent inspection observations associated with certain quality control procedures that present a risk to sterility and quality assurance.
http://example.org/fda/8579179636244859683,hasRecallType,Class III
http://example.org/fda/407320578040319787,hasRecallReason,Labeling Not Elsewhere Classified: Fresenius Kabi is taking this action due to an incorrect statement on the product insert for product codes 918610 and 918620 indicating that the stoppers do not contain natural rubber latex.  The tray label for these two product codes and the vial label for product code 918620 also incorrectly state that the stoppers do not contain latex.  The above listed product codes and batches being recalled have stoppers containing natural rubber latex.
http://example.org/fda/7773860314772784832,hasRecallType,Class II
http://example.org/fda/8079525963798729736,hasRecallType,Class II
http://example.org/fda/5081223102235582558,hasRecallType,Class II
http://example.org/fda/8281536037074342595,hasRecallType,Class II
http://example.org/fda/2411093456480000478,hasRecallReason,Failed Moisture Limits: Out of specification for water content
http://example.org/fda/2032493010192080440,hasRecallReason,"Lack of Assurance of Sterility: all sterile products compounded, repackaged, and distributed by this compounding pharmacy due to lack of sterility assurance and concerns associated with the quality control processes."
http://example.org/fda/3895082885813004196,hasRecallType,Class II
http://example.org/fda/7417088806130813289,hasRecallType,Class II
http://example.org/fda/40524938456871169,hasRecallType,Class II
http://example.org/fda/1753287250592091855,hasRecallReason,Presence of Particulate matter: manufacturer recalled fentanyl API due to potential for glass particules
http://example.org/fda/7189870077174860209,hasRecallType,Class II
http://example.org/fda/6477651893248341312,hasRecallType,Class II
http://example.org/fda/3882588970850523105,hasRecallType,Class III
http://example.org/fda/1490183212728441718,hasRecallType,Class II
http://example.org/fda/4405922135090031232,hasRecallType,Class II
http://example.org/fda/5807110359766546636,hasRecallType,Class II
http://example.org/fda/7188674135987218275,hasRecallType,Class II
http://example.org/fda/6587240819303789574,hasRecallReason,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility
http://example.org/fda/7735778202937274747,hasRecallType,Class II
http://example.org/fda/1725727208492952978,hasRecallReason,Microbial contamination
http://example.org/fda/3504142143160994634,hasRecallType,Class II
http://example.org/fda/8404214759353557102,hasRecallReason,Lack of Assurance of Sterility: product sterility cannot be guaranteed.
http://example.org/fda/6067345253356013953,hasRecallReason,Failed Impurities/Degradation Specifications: out of specification test results for impurities during stability testing.
http://example.org/fda/4744804525383498128,hasRecallReason,"Lack of processing controls: Isomeric Pharmacy Solution, LLC is recalling Betamethasone Acetate / Betamethasone Sodium Phosphate 7 mg/mL INJ SUSP because of the potential of drug clumps in the vial of the sterile drug product and larger particle sizes."
http://example.org/fda/732811141567878642,hasRecallReason,Lack of Assurance of Sterility
http://example.org/fda/8066816553310098258,hasRecallType,Class II
http://example.org/fda/6404191336835230191,hasRecallReason,"Failed Content Uniformity Specifications: Product was manufactured using an adulterated active pharmaceutical ingredient; additionally, lack of process controls and good manufacturing practices resulted in finished product failing content uniformity specifications which can result in a product having a strength that is more or less than is labeled."
http://example.org/fda/5543349536102650131,hasRecallType,Class II
http://example.org/fda/5676131448971395090,hasRecallType,Class II
http://example.org/fda/3543994620605935726,hasRecallType,Class II
http://example.org/fda/8667424537466132224,hasRecallType,Class II
http://example.org/fda/8281536037074342595,hasRecallReason,Lack of Assurance of Sterility
http://example.org/fda/6916240935412328329,hasRecallReason,Presence of Foreign Tablets/Capsules: Potential of Pravastatin tablet fragments in bottles of Valacyclovir 1 gm Tablets.
http://example.org/fda/1707404593015143996,hasRecallType,Class II
http://example.org/fda/4391837238336027994,hasRecallReason,CGMP Deviations
http://example.org/fda/5405211768256732780,hasRecallType,Class II
http://example.org/fda/524001158104578457,hasRecallReason,Lack of sterility assurance.
http://example.org/fda/6068837586859108846,hasRecallType,Class II
http://example.org/fda/7893163290718960111,hasRecallType,Class II
